File,Target,ShotNumber,Distance(m),LaserPower,SpectrumTotal,SiO2,TiO2,Al2O3,FeOT,MgO,CaO,Na2O,K2O,Total,SiO2_RMSEP,TiO2_RMSEP,Al2O3_RMSEP,FeOT_RMSEP,MgO_RMSEP,CaO_RMSEP,Na2O_RMSEP,K2O_RMSEP,labels
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,33,5.70727,100A/95A/95A,1.43E+14,59.539446,19.01004,12.488484,9.1591446,3.9684051,2.0039767,3.1513754,0.81563837,110.13651,5.261663,8.9327831,3.5653617,2.5386209,1.7424761,1.0011923,0.63027436,0.79028368,3
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,34,5.70727,100A/95A/95A,1.13E+14,56.621981,22.002843,11.692848,9.0632098,3.9231117,2.0988731,3.0728581,0.78629911,109.26202,5.1780691,10.365815,3.5523047,2.524267,1.7374227,1.017067,0.62591213,0.77750933,1
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,35,5.70727,100A/95A/95A,1.42E+14,60.226534,15.430749,13.225563,9.3106629,4.19162,1.9411581,3.015567,0.63361736,107.97547,5.2767363,7.2169766,3.5795801,2.5601523,1.7654169,0.99166757,0.62334883,0.71074539,0
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,36,5.70727,100A/95A/95A,1.40E+14,60.805472,15.184426,13.15,8.6354391,4.2351117,2.1132688,3.1083021,0.81448299,108.0465,5.2880688,7.097158,3.5779412,2.4650288,1.7707078,1.0186545,0.62804615,0.78601515,0
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,37,5.70727,100A/95A/95A,1.31E+14,61.192064,14.220288,14.369209,8.1747131,3.8446123,2.0544151,3.1883649,0.73243654,107.7761,5.2949767,6.637053,3.6077757,2.4002671,1.7293375,1.0091296,0.63255566,0.75204062,3
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,38,5.70727,100A/95A/95A,1.26E+14,60.978541,12.677794,14.030174,8.2286026,4.1735208,1.7442021,3.0561794,0.68299551,105.57201,5.2911592,5.8989697,3.5986929,2.408437,1.7633004,0.96228343,0.62537861,0.73124003,3
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,39,5.70727,100A/95A/95A,1.28E+14,60.809313,11.204927,14.946144,8.1292017,4.0743147,2.1329287,3.1677432,0.7810948,105.24567,5.2880688,5.1896429,3.623888,2.3948205,1.7527183,1.0218294,0.63139284,0.77325636,1
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,40,5.70727,100A/95A/95A,1.24E+14,58.611007,11.112848,16.168017,9.0389429,4.2900794,2.5484471,3.2550645,0.51214753,105.53655,5.238276,5.1465073,3.655961,2.5214298,1.7759988,1.0951188,0.63668609,0.66338229,2
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,41,5.70727,100A/95A/95A,1.23E+14,59.901793,12.892443,15.622252,8.600421,4.33912,1.7827024,3.3350768,0.59275737,107.06657,5.2697401,5.9996171,3.6422992,2.4594731,1.7812899,0.96797341,0.64155942,0.69462419,3
CL5_398736801CCS_F0030004CCAM01014P3.SAV,Goulburn_2,42,5.70727,100A/95A/95A,1.29E+14,59.878231,11.238298,16.722516,7.7638919,4.2020522,1.9506954,3.1381818,0.7318099,105.62568,5.2693162,5.2088137,3.6673913,2.3451364,1.766475,0.99325502,0.62971663,0.75204062,0
